jday,mjd,filter,instrument,system,obsmag,obsmagerr,mag,magerr,limmag,fnu,fnuerr,amag,amagerr,snr,source
2458216.864375,58216.3643,r,P48+ZTF,PS1,22.791268113594786,1.2815433147732205,22.757751566147213,1.281543314773221,20.50378345255243,2.863514413928315e-29,3.3799349582747827e-29,-14.482248433852792,1.281543314773221,0.942422902371868,forced
2458216.8849306,58216.3849,r,P48+ZTF,PS1,,0.0,,0.0,20.248783452552427,-5.466429423258479e-29,4.1301788554998793e-29,,0.0,-1.4722775419630802,forced
2458216.9090625,58216.40900000001,r,P48+ZTF,PS1,23.7890109320217,4.5939252543177025,23.755494384574128,4.5939252543177025,20.10868345255243,1.1423580492949754e-29,4.833501424315472e-29,-13.484505615425876,4.5939252543177025,0.26290279082984896,forced
2458216.91,58216.41,r,P48+ZTF,PS1,23.908206644964586,5.92022488435132,23.874690097517014,5.92022488435132,19.91228345255243,1.0235851132398675e-29,5.581331848470677e-29,-13.36530990248299,5.92022488435132,0.20400504943929695,forced
2458217.8848032,58217.3848,r,P48+ZTF,PS1,,0.0,,0.0,20.33098345255243,-1.4715252166464714e-29,3.6176218330021534e-29,,0.0,-0.452479954159984,forced
2458217.9090741,58217.40900000001,r,P48+ZTF,PS1,22.84910974613302,1.0710520415619884,22.815593198685452,1.0710520415619889,20.67218345255243,2.7149555308182456e-29,2.678236804934289e-29,-14.424406801314547,1.0710520415619889,1.12763500124839,forced
2458217.9243981005,58217.4243,r,P48+ZTF,PS1,,0.0,,0.0,20.607583452552433,-2.327250297645942e-29,2.871939991821196e-29,,0.0,-0.901410337638896,forced
2458217.9466782003,58217.4466,r,P48+ZTF,PS1,,0.0,,0.0,20.471283452552427,-3.7501868672167354e-29,3.4364061519681924e-29,,0.0,-1.21395677122959,forced
2458217.9677894,58217.4677,r,P48+ZTF,PS1,24.28106156971895,5.853440412906537,24.247545022271385,5.853440412906537,20.39078345255243,7.260758485914598e-30,3.914433079006926e-29,-12.992454977728615,5.853440412906537,0.206332632610525,forced
2458217.9814468,58217.4814,r,P48+ZTF,PS1,22.340193823954177,0.862482914468705,22.306677276506605,0.862482914468705,20.45608345255243,4.3383949849561356e-29,3.4463173783312716e-29,-14.933322723493395,0.862482914468705,1.40032428464723,forced
